Beslan Airport,Beslan,RU-SE
Bethel Airport,Bethel,US-AK
Bettles Airport,Bettles,US-AK
Beverly Municipal Airport,Beverly,US-MA
Béziers-Vias Airport,Béziers/Vias,FR-K
Bezmer Air Base,Yambol,BG-28
Bezymyanka Airfield,Samara,RU-SAM
Bhavnagar Airport,Bhavnagar,IN-GJ
Bhuj Airport,Bhuj,IN-GJ
Bia?a Podlaska Airfield,Bia?a Podlaska,PL-LU
Biarritz-Anglet-Bayonne Airport,Biarritz/Anglet/Bayonne,FR-B
Bicycle Lake Army Air Field,Fort Irwin/Barstow,US-CA
Biella-Cerrione Airport,Biella (BI),IT-21
Big Creek Airport,Big Creek,BZ-SC
Big Trout Lake Airport,Big Trout Lake,CA-ON
Biggs Army Air Field (Fort Bliss),Fort Bliss/El Paso,US-TX
Bijie Feixiong Airport,Bijie,CN-52
Biju Patnaik Airport,Bhubaneswar,IN-OR
Bila Tserkva Airfield,Bila Tserkva,UA-32
Bilbao Airport,Bilbao,ES-PV
Bilbeis 2 Airfield,Bilbeis,EG-SHR
Bilbeis Air Base,Bilbeis,EG-SHR
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US-AR
Billings Logan International Airport,Billings,US-MT
Billund Airport,Billund,DK-83
Billy Bishop Toronto City Centre Airport,Toronto,CA-ON
Bilogai-Sugapa Airport,Sugapa-Papua Island,ID-PA
Binaka Airport,Gunung Sitoli-Nias Island,ID-SU
Bintulu Airport,Bintulu,MY-13
Biratnagar Airport,Biratnagar,NP-KO
Birchwood Airport,Birchwood,US-AK
Birjand Airport,Birjand,IR-29
Birma Air Base,Tanta,EG-GH
Birmingham International Airport,Birmingham,GB-ENG
Birmingham-Shuttlesworth International Airport,Birmingham,US-AL
Birofeld Air Base,Birofeld,RU-YEV
Birsa Munda Airport,Ranchi,IN-JH
Bisbee Douglas International Airport,Douglas Bisbee,US-AZ
Bisho Airport,Bisho,ZA-EC
Bishop International Airport,Flint,US-MI
Biskra Airport,Biskra,DZ-07
Bismarck Municipal Airport,Bismarck,US-ND
Bitam Airport,Bitam,GA-9
Björkvik Air Base,Björkvik,SE-D
Blackall Airport,Blackall,AU-QLD
Blackbushe Airport,Yateley,GB-ENG
Blackpool International Airport,Blackpool,GB-ENG
Blagodatnoye Air Base,Blagodatnoye,RU-KHA
Blois-Le Breuil Airport,Blois/Le Breuil,FR-F
Blue Grass Airport,Lexington,US-KY
Blue River Airport,Blue River,CA-BC
Bluefields Airport,Bluefileds,NI-AS
Blythe Airport,Blythe,US-CA
Bo Airport,Bo,SL-S
Bob Baker Memorial Airport,Kiana,US-AK
Bob Hope Airport,Burbank,US-CA
Bob Sikes Airport,Crestview,US-FL
Bobo Dioulasso Airport,Bobo Dioulasso,BF-HOU
Boboc Air Base,Boboc,RO-BZ
Bobrovichi Air Base,Kalinovichi,BY-HO
Bobrovka Air Base,Kinel,RU-SAM
Bocas Del Toro International Airport,Isla Colón,PA-1
Bodø Airport,Bodø,NO-18
Boeing Field King County International Airport,Seattle,US-WA
Bogashevo Airport,Tomsk,RU-TOM
Boise Air Terminal/Gowen field,Boise,US-ID
Bojnord Airport,Bojnord,IR-31
Bol Airport,Bra? Island,HR-17
Bologna Guglielmo Marconi Airport,Bologna,IT-45
Bolshiye Shiraki Air Base,Bolshiye Shiraki,GE-KA
Bolshoy Tokmak Air Base,Tokmak,UA-23
Bolshoye Savino Airport,Perm,RU-PER
Bolzano Airport,Bolzano,IT-32
Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,BR-BA
Bonaventure Airport,Bonaventure,CA-QC
Bonnyville Airport,Bonnyville,CA-AB
Bonriki International Airport,Tarawa,KI-G
Boone County Airport,Harrison,US-AR
Bora Bora Airport,Motu Mute,PF-U-A
Bordeaux-Mérignac Airport,Bordeaux/Mérignac,FR-B
Borg El Arab International Airport,Alexandria,EG-ALX
Borisoglebsk Air Base,Borisoglebsk,RU-VOR
Borisoglebskoye Airport,Kazan,RU-TA
Bornholm Airport,Rønne,DK-84
Boryspil International Airport,Kiev,UA-32
Boscobel Aerodrome,Ocho Rios,JM-05
Bou Chekif Airport,Tiaret,DZ-14
Bouarfa Airport,Bouarfa,MA-FIG
Boundary Bay Airport,Vancouver,CA-BC
Bourges Airport,Bourges,FR-F
Bournemouth Airport,Bournemouth,GB-ENG
Bowerman Airport,Hoquiam,US-WA
Bowling Green Warren County Regional Airport,Bowling Green,US-KY
Bowman Field,Louisville,US-KY
Bradford Regional Airport,Bradford,US-PA
Bradley International Airport,Hartford,US-CT
Bradshaw Army Airfield,Camp Pohakuloa,US-HI
Braga Municipal Aerodrome,Braga,PT-03
Bragança Airport,Bragança,PT-04
Brainerd Lakes Regional Airport,Brainerd,US-MN
Brak Airport,Brak,LY-SH
Bram Fischer International Airport,Bloemfontain,ZA-FS
Brampton Airport,Brampton,CA-ON
Brandon Municipal Airport,Brandon,CA-MB
Bratsk Airport,Bratsk,RU-IRK
Braunschweig-Wolfsburg Airport,Braunschweig,DE-NI
Bremen Airport,Bremen,DE-HB
Bremerton National Airport,Bremerton,US-WA
Brescia Airport,Montichiari (BS),IT-25
Brest Airport,Brest,BY-BR
Brest Bretagne Airport,Brest/Guipavas,FR-E
Brig. Lysias Augusto Rodrigues Airport,Carolina,BR-MA
Brigadeiro Camarão Airport,Vilhena,BR-RO
Brigadeiro Lysias Rodrigues Airport,Palmas,BR-TO
Brigadier Antonio Parodi Airport,Esquel,AR-U
Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR-D
Brindisi – Salento Airport,Brindisi,IT-75
Brisbane International Airport,Brisbane,AU-QLD
Bristol Airport,Bristol,GB-ENG
Brno-Tu?any Airport,Brno,CZ-JM
Brochet Airport,Brochet,CA-MB
Broken Hill Airport,Broken Hill,AU-NSW
Bromont (Roland Desourdy) Airport,Bromont,CA-QC
Brønnøysund Airport,Brønnøy,NO-18
Broome International Airport,Broome,AU-WA
Brown Field Municipal Airport,San Diego,US-CA
Brownsville South Padre Island International Airport,Brownsville,US-TX
Brunei International Airport,Bandar Seri Begawan,BN-BM
Brunswick Executive Airport,Brunswick,US-ME
Brunswick Golden Isles Airport,Brunswick,US-GA
Brussels Airport,Brussels,BE-BRU
Brussels South Charleroi Airport,Brussels,BE-WHT
Bryansk Airport,Bryansk,RU-BRY
Bryce Canyon Airport,Bryce Canyon,US-UT
Bubung Airport,Luwok-Celebes Island,ID-ST
Bucholz Army Air Field,Kwajalein,MH-KWA
Buckland Airport,Buckland,US-AK
Buckley Air Force Base,Aurora,US-CO
Budapest Ferenc Liszt International Airport,Budapest,HU-PE
Budel Airport,Weert,NL-NB
Budyonnovsk Air Base,Budyonnovsk,RU-STA
Buenos Aires Airport,Punta Arenas,CR-P
Buffalo Niagara International Airport,Buffalo,US-NY
Buffalo Range Airport,Chiredzi,ZW-MV
Bugulma Airport,Bugulma,RU-TA
Buguruslan Severny Airport,Buguruslan,RU-ORE
Bujumbura International Airport,Bujumbura,BI-BJ
Buka Airport,Buka Island,PG-NSB
Bukhara Airport,Bukhara,UZ-BU
Bulgan Airport,Bulgan,MN-067
Bundaberg Airport,Bundaberg,AU-QLD
Buon Ma Thuot Airport,Buon Ma Thuot,VN-33
Burgas Airport,Burgas,BG-02
Burgos Airport,Burgos,ES-CL
Burke Lakefront Airport,Cleveland,US-OH
Burley Municipal Airport,Burley,US-ID
Burlington International Airport,Burlington,US-VT
Burns Municipal Airport,Burns,US-OR
Bursa Yeni?ehir Airport,Bursa,TR-16
Burwash Airport,Burwash,CA-YT
Bushehr Airport,Bushehr,IR-06
Butterworth Airport,Butterworth,MY-07
Buttonville Municipal Airport,Toronto,CA-ON
Butts AAF (Fort Carson) Air Field,Fort Carson,US-CO
Buturlinovka Air Base,Buturlinovka,RU-VOR
Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,PL-KP
