Cà Mau Airport,Ca Mau City,VN-59
Caballococha Airport,Caballococha,PE-LOR
Cabinda Airport,Cabinda,AO-CAB
Cabo Rojo Airport,Cabo Rojo,DO-16
Cabo San Lucas International Airport,Cabo San Lucas,MX-BCS
Cachimbo Airport,Novo Progresso,BR-PA
Cacique Aramare Airport,Puerto Ayacucho,VE-Z
Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,PE-SAM
Cadjehoun Airport,Cotonou,BJ-AQ
Caen-Carpiquet Airport,Caen/Carpiquet,FR-P
Cagliari Elmas Airport,Cagliari,IT-88
Cahors-Lalbenque Airport,Cahors/Lalbenque,FR-N
Cahul International Airport,Cahul,MD-BL
Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,US-AL
Cairns International Airport,Cairns,AU-QLD
Cairo International Airport,Cairo,EG-C
Cairo West Airport,El Cairo,EG-GZ
Cakung Airport,Baucau,TL-BA
Calabozo Airport,Guarico,VE-J
Calais-Dunkerque Airport,Calais/Dunkerque,FR-O
Calbayog Airport,Calbayog City,PH-WSA
Calgary / Springbank Airport,Calgary,CA-AB
Calgary International Airport,Calgary,CA-AB
Calicut International Airport,Calicut,IN-KL
Calvi-Sainte-Catherine Airport,Calvi/Sainte-Catherine,FR-H
Cam Ranh Airport,Nha Trang,VN-34
Cambridge Airport,Cambridge,GB-ENG
Cambridge Bay Airport,Cambridge Bay,CA-NU
Cameri Air Base [MIL],Cameri (NO),IT-21
Camilo Daza International Airport,Cúcuta,CO-NSA
Camp Pendleton MCAS (Munn Field) Airport,Oceanside,US-CA
Campbell AAF (Fort Campbell) Air Field,Fort Campbell/Hopkinsville,US-KY
Campbell River Airport,Campbell River,CA-BC
Campbeltown Airport,Campbeltown,GB-SCT
Câmpia Turzii Air Base,Câmpia Turzii,RO-CJ
Campo de Marte Airport,São Paulo,BR-SP
Campo Délio Jardim de Mattos Airport,Rio De Janeiro,BR-RJ
Campo Fontenelle Airport,Pirassununga,BR-SP
Campo Grande Airport,Campo Grande,BR-MS
Can Tho International Airport,Can Tho,VN-02
Canaima Airport,Canaima,VE-F
Çanakkale Airport,Çanakkale,TR-17
Cañal Bajo Carlos - Hott Siebert Airport,Osorno,CL-LL
Canberra International Airport,Canberra,AU-ACT
Cancún International Airport,Cancún,MX-ROO
Canefield Airport,Canefield,DM-10
Cannes-Mandelieu Airport,Cannes/Mandelieu,FR-U
Cannon Air Force Base,Clovis,US-NM
Canoas Air Force Base,Porto Alegre,BR-RS
Canouan Airport,Canouan,VC-06
Canton Island Airport,Abariringa,KI-P
Cap FAP David Abenzur Rengifo International Airport,Pucallpa,PE-UCA
Cap Haitien International Airport,Cap Haitien,HT-ND
Cap Manuel Niño International Airport,Changuinola,PA-1
Cap Skirring Airport,Cap Skirring,SN-ZG
Cape Canaveral AFS Skid Strip,Cocoa Beach,US-FL
Cape Dorset Airport,Cape Dorset,CA-NU
Cape Girardeau Regional Airport,Cape Girardeau,US-MO
Cape Lisburne LRRS Airport,Cape Lisburne,US-AK
Cape May County Airport,Wildwood,US-NJ
Cape Newenham LRRS Airport,Cape Newenham,US-AK
Cape Romanzof LRRS Airport,Cape Romanzof,US-AK
Cape Town International Airport,Cape Town,ZA-WC
Capital City Airport,Lansing,US-MI
Capitán Aníbal Arab Airport,Cobija,BO-N
Capitán Av. Salvador Ogaya G. airport,Puerto Suárez,BO-S
Capitan Corbeta CA Curbelo International Airport,Punta del Este,UY-MA
Capitan D Daniel Vazquez Airport,San Julian,AR-Z
Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,PE-LAL
Capitán FAP Guillermo Concha Iberico International Airport,Piura,PE-PIU
Capitan FAP Jose A Quinones Gonzales International Airport,Chiclayo,PE-LAM
Capitan FAP Pedro Canga Rodriguez Airport,Tumbes,PE-TUM
Capitán FAP Renán Elías Olivera International Airport,Pisco,PE-ICA
Capitan Fuentes Martinez Airport Airport,Porvenir,CL-MA
Capitan Montes Airport,Talara,PE-PIU
Capitan Nicolas Rojas Airport,Potosí,BO-P
Capitan Oriel Lea Plaza Airport,Tarija,BO-T
Capitan V A Almonacid Airport,La Rioja,AR-F
Captain Rogelio Castillo National Airport,Celaya,MX-GUA
Carajás Airport,Parauapebas,BR-PA
Caransebe? Airport,Caransebe?,RO-CS
Caravelas Airport,Caravelas,BR-BA
Carcassonne Airport,Carcassonne/Salvaza,FR-K
Çardak Airport,Denizli,TR-20
Cardiff International Airport,Cardiff,GB-WLS
Caribou Municipal Airport,Caribou,US-ME
Carlisle Airport,Carlisle,GB-ENG
Carlos Manuel de Cespedes Airport,Bayamo,CU-12
Carlos Miguel Gimenez Airport,Pilar,PY-12
Carlos Rovirosa Pérez International Airport,Villahermosa,MX-TAB
Carnarvon Airport,Carnarvon,AU-WA
Carora Airport,Carora,VE-K
Carrasco International /General C L Berisso Airport,Montevideo,UY-MO
Carriel Sur Airport,Concepcion,CL-BI
Cartwright Airport,Cartwright,CA-NL
Casa De Campo International Airport,La Romana,DO-12
Casale Monferrato Airport,Casale Monferrato,IT-21
Cascavel Airport,Cascavel,BR-PR
Casement Air Base,Baldonnel,IE-D
?áslav Air Base,?áslav,CZ-ST
Casper-Natrona County International Airport,Casper,US-WY
Cassidy International Airport,Banana,KI-L
Castellón-Costa Azahar Airport,Castellón de la Plana,ES-CS
Castle Airport,Merced,US-CA
Castlegar/West Kootenay Regional Airport,Castlegar,CA-BC
Castres-Mazamet Airport,Castres/Mazamet,FR-N
Cat Bi International Airport,Haiphong,VN-61
Cat Lake Airport,Cat Lake,CA-ON
Catamarca Airport,Catamarca,AR-K
Catania-Fontanarossa Airport,Catania,IT-82
Cataratas Del Iguazú International Airport,Puerto Iguazu,AR-N
Cataratas International Airport,Foz Do Iguaçu,BR-PR
Catarman National Airport,Catarman,PH-NSA
Catumbela Airport,Catumbela,AO-BGU
Cauayan Airport,Cauayan City,PH-ISA
Cavern City Air Terminal,Carlsbad,US-NM
Caye Caulker Airport,Caye Caulker,BZ-BZ
Caye Chapel Airport,Caye Chapel,BZ-BZ
Cayenne-Rochambeau Airport,Cayenne / Rochambeau,GF-CY
Cazaux (BA 120) Air Base,Cazaux (La Teste-de-Buch),FR-B
Cedar City Regional Airport,Cedar City,US-UT
Centennial Airport,Denver,US-CO
Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,US-IL
Central Nebraska Regional Airport,Grand Island,US-NE
Central Wisconsin Airport,Mosinee,US-WI
Centralia / James T. Field Memorial Aerodrome,Centralia,CA-ON
Cerklje Airport,Cerklje ob Krki,SI-009
Cerro Moreno Airport,Antofagasta,CL-AN
Cervia Air Base,Cervia,IT-45
Cewice Military Airport,L?bork,PL-PM
CFB Bagotville,Bagotville,CA-QC
CFB Cold Lake,Cold Lake,CA-AB
CFB Greenwood,Greenwood,CA-NS
CFB Trenton,Trenton,CA-ON
Cha Eian Airport,Nakhon Si Thammarat,TH-80
Chacalluta Airport,Arica,CL-AP
Chachapoyas Airport,Chachapoyas,PE-AMA
Chachoán Airport,Ambato,EC-T
Chadron Municipal Airport,Chadron,US-NE
Chafei Amsei Airport,Barretos,BR-SP
Chaitén Airport,Chaiten,CL-LL
Chalon-Champforgeuil Airport,Chalon/Champforgueil,FR-D
Châlons-Vatry Air Base,Châlons/Vatry,FR-G
Chambéry-Savoie Airport,Chambéry/Aix-les-Bains,FR-V
Chan Gurney Municipal Airport,Yankton,US-SD
Chañaral Airport,Chañaral,CL-AT
Chandigarh Airport,Chandigarh,IN-CH
Chandler Field,Alexandria,US-MN
Chang'an Airport,Baicheng,CN-22
Changbaishan Airport,Baishan,CN-22
Changde Airport,Changde,CN-43
Changhai Airport,Changhai,CN-21
Changi Air Base (East),Singapore,SG-04
Changjin Air Force Base,Changjin,KP-08
Changsha Datuopu Airport/AFB,Changsha,CN-43
Changsha Huanghua International Airport,Changsha,CN-43
Chania International Airport,Souda,GR-94
Chanute Martin Johnson Airport,Chanute,US-KS
Chaoyang Airport,Chaoyang,CN-21
Chapais Airport,Chibougamau,CA-QC
Chapleau Airport,Chapleau,CA-ON
Charles B. Wheeler Downtown Airport,Kansas City,US-MO
Charles de Gaulle International Airport,Paris,FR-J
Charles M. Schulz Sonoma County Airport,Santa Rosa,US-CA
Charleston Air Force Base-International Airport,Charleston,US-SC
Charleville Airport,Charleville,AU-QLD
Charleville-Mézières Airport,Charleville-Mézières,FR-G
Charlevoix Airport,Charlevoix,CA-QC
Charlo Airport,Charlo,CA-NB
Charlotte Douglas International Airport,Charlotte,US-NC
Charlottesville Albemarle Airport,Charlottesville,US-VA
Charlottetown Airport,Charlottetown,CA-PE
Châteaudun (BA 279) Air Base,Châteaudun,FR-F
"Châteauroux-Déols ""Marcel Dassault"" Airport",Châteauroux/Déols,FR-F
Chatham Islands-Tuuta Airport,Waitangi,NZ-WGN
Chaudhary Charan Singh International Airport,Lucknow,IN-UP
Chautauqua County-Jamestown Airport,Jamestown,US-NY
Chaybukha Airport,Chaybukha,RU-MAG
Cheboksary Airport,Cheboksary,RU-CU
Cheddi Jagan International Airport,Georgetown,GY-DE
Cheikh Larbi Tébessi Airport,Tébessi,DZ-12
Chek Lap Kok International Airport,Hong Kong,HK-U-A
Chelkar Airport,Chelkar,KZ-AKT
Chelyabinsk Balandino Airport,Chelyabinsk,RU-CHE
Chengdu Shuangliu International Airport,Chengdu,CN-51
Chengjisihan Airport,Zhalantun,CN-15
Chennai International Airport,Chennai,IN-TN
Cheongju International Airport/Cheongju Air Base (K-59/G-513),Cheongju,KR-43
Cherbourg-Maupertus Airport,Cherbourg/Maupertus,FR-P
Cheremshanka Airport,Krasnoyarsk,RU-KYA
Cherepovets Airport,Cherepovets,RU-VLG
Cherif Al Idrissi Airport,Al Hoceima,MA-HOC
Cherkasy International Airport,Cherkasy,UA-71
Chernigovka Air Base,Chernigovka,RU-PRI
Chernivtsi International Airport,Chernivtsi,UA-77
Chernyakhovsk Naval Air Base,Chernyakhovsk,RU-KGD
Cherry Capital Airport,Traverse City,US-MI
Cherry Point MCAS /Cunningham Field/,Cherry Point,US-NC
Cherskiy Airport,Cherskiy,RU-SA
Cheryomushki Air Base,Chita,RU-CHI
Chesterfield Inlet Airport,Chesterfield Inlet,CA-NU
Chetumal International Airport,Chetumal,MX-ROO
Chetwynd Airport,Chetwynd,CA-BC
Chevery Airport,Chevery,CA-QC
Cheyenne Regional Jerry Olson Field,Cheyenne,US-WY
Chhatrapati Shivaji International Airport,Mumbai,IN-MM
Chiang Mai International Airport,Chiang Mai,TH-50
Chiang Rai International Airport,Chiang Rai,TH-57
Chiayi Airport,Chiayi City,TW-CYQ
Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,US-IL
Chicago Midway International Airport,Chicago,US-IL
Chicago O'Hare International Airport,Chicago,US-IL
Chicago Rockford International Airport,Chicago/Rockford,US-IL
Chichen Itza International Airport,Chichen Itza,MX-YUC
Chièvres Air Base,Chièvres,BE-WHT
Chifeng Airport,Chifeng,CN-15
Chihhang Air Base,Taitung City,TW-TTT
Childress Municipal Airport,Childress,US-TX
Chile Chico Airport,Chile Chico,CL-AI
Chileka International Airport,Blantyre,MW-BL
Chimbu Airport,Kundiawa,PG-CPK
Chimoio Airport,Chimoio,MZ-B
China Bay Airport,Trincomalee,LK-5
China Lake Naws (Armitage Field) Airport,China Lake,US-CA
Chindant Air Base,Borzya,RU-CHI
Chinggis Khaan International Airport,Ulan Bator,MN-1
Chingozi Airport,Tete,MZ-T
Chios Island National Airport,Chios Island,GR-85
Chippewa County International Airport,Sault Ste Marie,US-MI
Chippewa Valley Regional Airport,Eau Claire,US-WI
Chi?in?u International Airport,Chi?in?u,MD-C
Chita-Kadala Airport,Chita,RU-CHI
Chitral Airport,Chitral,PK-NW
Chkalovskiy Airport,Moscow,RU-MOS
Chofu Airport,Tokyo,JP-13
Chokurdakh Airport,Chokurdah,RU-SA
Cholet Le Pontreau Airport,Cholet/Le Pontreau,FR-R
Chongqing Air Base,Chongqing,CN-50
Chongqing Jiangbei International Airport,Chongqing,CN-50
Chris Hadfield Airport,Sarnia,CA-ON
Christchurch International Airport,Christchurch,NZ-CAN
Christmas Island Airport,Christmas Island,CX-U-A
Chubu Centrair International Airport,Tokoname,JP-23
Chuguyevka Air Base,Chuguyevka,RU-PRI
Chulman Airport,Neryungri,RU-SA
Churchill Airport,Churchill,CA-MB
Chuuk International Airport,Weno Island,FM-TRK
Ciampino–G. B. Pastine International Airport,Roma,IT-62
Cibao International Airport,Santiago,DO-25
Cincinnati Municipal Airport Lunken Field,Cincinnati,US-OH
Cincinnati Northern Kentucky International Airport,Cincinnati,US-KY
City of Colorado Springs Municipal Airport,Colorado Springs,US-CO
City of Derry Airport,Derry,GB-NIR
Ciudad Constitución Airport,Ciudad Constitución,MX-BCS
Ciudad del Carmen International Airport,Ciudad del Carmen,MX-CAM
Ciudad Obregón International Airport,Ciudad Obregón,MX-SON
Clarence A. Bain Airport,Mangrove Cay,BS-KB
Clark International Airport,Angeles City,PH-PAM
Clear Airport,Clear,US-AK
Clermont-Ferrand Auvergne Airport,Clermont-Ferrand/Auvergne,FR-C
Cleveland Hopkins International Airport,Cleveland,US-OH
Cloncurry Airport,Cloncurry,AU-QLD
Cluj-Napoca International Airport,Cluj-Napoca,RO-CJ
Clyde River Airport,Clyde River,CA-NU
Co Ong Airport,Con Dao,VN-43
Coastal Carolina Regional Airport,New Bern,US-NC
Coban Airport,Coban,GT-AV
Cobb County-Mc Collum Field,Atlanta,US-GA
Cochin International Airport,Kochi,IN-KL
Cochrane Airport,Cochrane,CA-ON
Cochrane Airport,Cochrane,CL-AI
Cocos (Keeling) Islands Airport,Cocos (Keeling) Islands,CC-U-A
Coen Airport,Coen,AU-QLD
Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,US-ID
Coffs Harbour Airport,Coffs Harbour,AU-NSW
Cognac-Châteaubernard (BA 709) Air Base,Cognac/Châteaubernard,FR-T
Coimbatore International Airport,Coimbatore,IN-TN
Coimbra Airport,Coimbra,PT-06
Cold Bay Airport,Cold Bay,US-AK
Coleman A. Young Municipal Airport,Detroit,US-MI
Colmar-Houssen Airport,Colmar/Houssen,FR-A
Cologne Bonn Airport,Cologne,DE-NW
Colombo Ratmalana Airport,Colombo,LK-1
Colonel Hill Airport,Colonel Hill,BS-AC
Columbia Gorge Regional the Dalles Municipal Airport,The Dalles,US-OR
Columbia Metropolitan Airport,Columbia,US-SC
Columbia Regional Airport,Columbia,US-MO
Columbus Air Force Base,Columbus,US-MS
Columbus Metropolitan Airport,Columbus,US-GA
Columbus Municipal Airport,Columbus,US-IN
Columbus Municipal Airport,Columbus,US-NE
Comandante Espora Airport,Bahia Blanca,AR-B
Comandante FAP German Arias Graziani Airport,Anta,PE-ANC
Comandante Gustavo Kraemer Airport,Bagé,BR-RS
Comiso Airport,Comiso,IT-82
Comodoro Arturo Merino Benítez International Airport,Santiago,CL-RM
Comodoro D.R. Salomón Airport,Malargue,AR-M
Comodoro Pedro Zanni Airport,Pehuajó,AR-B
Comodoro Pierrestegui Airport,Concordia,AR-E
Comox Airport,Comox,CA-BC
Conakry International Airport,Conakry,GN-C
Conceição do Araguaia Airport,Conceição Do Araguaia,BR-PA
Concord Municipal Airport,Concord,US-NH
Congo Town Airport,Andros,BS-KB
Congonhas Airport,São Paulo,BR-SP
Cooma Snowy Mountains Airport,Cooma,AU-NSW
Copenhagen Kastrup Airport,Copenhagen,DK-84
Copenhagen Roskilde Airport,Copenhagen,DK-85
Copernicus Wroc?aw Airport,Wroc?aw,PL-DS
Coral Harbour Airport,Coral Harbour,CA-NU
Córdoba Airport,Córdoba,ES-AN
Cork Airport,Cork,IE-C
Cornwall Regional Airport,Cornwall,CA-ON
Coronel E Carvajal Airport,Macas,EC-S
Coronel Enrique Soto Cano Air Base,Comayagua,HN-CM
Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,PE-AYA
Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,PE-TAC
Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,PE-LOR
Corozal Municipal Airport,Corozal,BZ-CZL
Corpus Christi International Airport,Corpus Christi,US-TX
Corpus Christi Naval Air Station/Truax Field,Corpus Christi,US-TX
Corrientes Airport,Corrientes,AR-W
Corumbá International Airport,Corumbá,BR-MS
Corvallis Municipal Airport,Corvallis,US-OR
Coto 47 Airport,Corredores,CR-P
Cotopaxi International Airport,Latacunga,EC-X
Cottbus-Drewitz Airport,Cottbus,DE-BR
Coveñas Airport,Coveñas,CO-SUC
Coventry Airport,Coventry,GB-ENG
Cox Field,Paris,US-TX
Cox's Bazar Airport,Cox's Bazar,BD-2
Cozumel International Airport,Cozumel,MX-ROO
Craiova Airport,Craiova,RO-DJ
Cranbrook/Canadian Rockies International Airport,Cranbrook,CA-BC
Cranfield Airport,Cranfield,GB-ENG
Crater Lake-Klamath Regional Airport,Klamath Falls,US-OR
Creil Air Base,Creil,FR-S
Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,CA-MB
Crossville Memorial Whitson Field,Crossville,US-TN
Crotone Airport,Crotone,IT-78
Cruzeiro do Sul Airport,Cruzeiro Do Sul,BR-AC
Cuatro Vientos Airport,Madrid,ES-M
Çukurhisar Airport,Alpu,TR-26
Cuneo International Airport,Cuneo,IT-21
Curtis Field,Brady,US-TX
Curuzu Cuatia Airport,Curuzu Cuatia,AR-W
Cut Bank International Airport,Cut Bank,US-MT
Cutral-Co Airport,Cutral-Co,AR-Q
Cuyahoga County Airport,Cleveland,US-OH
Cycd,Nanaimo,CA-BC
Cyril E. King Airport,"Charlotte Amalie, Harry S. Truman Airport",VI-U-A
Da Nang International Airport,Da Nang,VN-60
Dabolim Airport,Vasco da Gama,IN-GA
Daegu Airport,Daegu,KR-27
Daet Airport,Daet,PH-CAN
Dakhla Airport,Dakhla,EH-U-A
Dalaman International Airport,Dalaman,TR-48
Dalanzadgad Airport,Dalanzadgad,MN-053
Dalhart Municipal Airport,Dalhart,US-TX
Dali Airport,Xiaguan,CN-53
Dallas Fort Worth International Airport,Dallas-Fort Worth,US-TX
Dallas Love Field,Dallas,US-TX
Damascus International Airport,Damascus,SY-DI
Dandong Airport,Dandong,CN-21
Dane County Regional Truax Field,Madison,US-WI
Dangriga Airport,Dangriga,BZ-SC
Daniel Field,Augusta,US-GA
Daniel K Inouye International Airport,Honolulu,US-HI
Daniel Oduber Quiros International Airport,Liberia,CR-G
Daniel Z. Romualdez Airport,Tacloban City,PH-LEY
Danilovo Air Base,Yoshkar Ola,RU-ME
Danville Regional Airport,Danville,US-VA
Daru Airport,Daru,PG-WPD
Darwin International Airport,Darwin,AU-NT
Dasht-e Naz Airport,Sari,IR-21
Da?oguz Airport,Da?oguz,TM-D
Daugavpils Intrenational Airport,Daugavpils,LV-DA
Dauphin Barker Airport,Dauphin,CA-MB
Davis Monthan Air Force Base,Tucson,US-AZ
Davison Army Air Field,Fort Belvoir,US-VA
Dawadmi Domestic Airport,Dawadmi,SA-01
Dawei Airport,Dawei,MM-05
Dawson City Airport,Dawson City,CA-YT
Dawson Community Airport,Glendive,US-MT
Dawson Creek Airport,Dawson Creek,CA-BC
Daytona Beach International Airport,Daytona Beach,US-FL
DCAE Cosford Air Base,Cosford,GB-ENG
De Kooy Airport,Den Helder,NL-NH
De La Independencia Airport,Rancagua,CL-LI
De Peel Air Base,Venray,NL-LI
Deadhorse Airport,Deadhorse,US-AK
Deadman's Cay Airport,Deadman's Cay,BS-LI
Deauville-Saint-Gatien Airport,Deauville,FR-P
Deblin Military Air Base,D?blin,PL-LU
Debrecen International Airport,Debrecen,HU-HB
Decatur Airport,Decatur,US-IL
Decimomannu Air Base,Decimomannu,IT-88
Deelen Air Base,Arnhem,NL-GE
Deer Lake Airport,Deer Lake,CA-NL
Deer Lake Airport,Deer Lake,CA-ON
Deering Airport,Deering,US-AK
Dehradun Airport,Dehradun,IN-UP
Deir ez-Zor Air Base,Deir ez-Zor,SY-DY
DeKalb Peachtree Airport,Atlanta,US-GA
Del Bajío International Airport,Silao,MX-GUA
Del Caribe Santiago Mariño International Airport,Isla Margarita,VE-O
Del Rio International Airport,Del Rio,US-TX
Delaware County Johnson Field,Muncie,US-IN
Déline Airport,Déline,CA-NT
Deming Municipal Airport,Deming,US-NM
Deniliquin Airport,Deniliquin,AU-NSW
Denver International Airport,Denver,US-CO
Deputado Luiz Eduardo Magalhães International Airport,Salvador,BR-BA
Dera Ghazi Khan Airport,Dera Ghazi Khan,PK-PB
Dera Ismael Khan Airport,Dera Ismael Khan,PK-NW
Derby Field,Lovelock,US-NV
Des Moines International Airport,Des Moines,US-IA
Desert Rock Airport,Mercury,US-NV
Desierto de Atacama Airport,Copiapo,CL-AT
Destin-Ft Walton Beach Airport,Valparaiso,US-FL
Detroit Metropolitan Wayne County Airport,Detroit,US-MI
Devi Ahilyabai Holkar Airport,Indore,IN-MP
Devonport Airport,Devonport,AU-TAS
Dhaka / Hazrat Shahjalal International Airport,Dhaka,BD-3
Diagoras Airport,Rodes Island,GR-81
Dibrugarh Airport,Dibrugarh,IN-AS
Dickinson Theodore Roosevelt Regional Airport,Dickinson,US-ND
Diego Aracena Airport,Iquique,CL-TA
Diego Garcia Naval Support Facility,Diego Garcia,IO-U-A
Diego Jimenez Torres Airport,Fajardo,PR-U-A
Dien Bien Phu Airport,Dien Bien Phu,VN-01
Diepholz Air Base,Diepholz,DE-NI
Digby / Annapolis Regional Airport,Digby,CA-NS
Dijon-Bourgogne Airport,Dijon/Longvic,FR-D
Dikson Airport,Dikson,RU-KYA
Dillant Hopkins Airport,Keene,US-NH
Dillingham Airfield,Mokuleia,US-HI
Dillingham Airport,Dillingham,US-AK
Dimapur Airport,Dimapur,IN-NL
Dimokritos Airport,Alexandroupolis,GR-71
Dinard-Pleurtuit-Saint-Malo Airport,Dinard/Pleurtuit/Saint-Malo,FR-E
Diomício Freitas Airport,Criciúma,BR-SC
Dionysios Solomos Airport,Zakynthos Island,GR-21
Diori Hamani International Airport,Niamey,NE-8
Dipolog Airport,Dipolog City,PH-ZAN
Diqing Airport,Shangri-La,CN-53
Dix-Sept Rosado Airport,Mossoró,BR-RN
Diyarbakir Airport,Diyarbakir,TR-21
Djanet Inedbirene Airport,Djanet,DZ-33
Djerba Zarzis International Airport,Djerba,TN-82
Djibouti-Ambouli Airport,Djibouti City,DJ-DJ
Dnipropetrovsk International Airport,Dnipropetrovsk,UA-12
Dobbins Air Reserve Base,Marietta,US-GA
Dodge City Regional Airport,Dodge City,US-KS
Dodoma Airport,Dodoma,TZ-03
Dolbeau St Felicien Airport,Dolbeau-St-Félicien,CA-QC
Dole-Tavaux Airport,Dole/Tavaux,FR-I
Dolinsk-Sokol Air Base,Dolinsk,RU-SAK
Dollyar Air Base,Dollyar,AZ-SKR
Dolna Mitropoliya Air Base,Dolna Mitropoliya,BG-15
Dolon Air Base,Semey,KZ-VOS
Domingo Faustino Sarmiento Airport,San Juan,AR-J
Dominique Edward Osok Airport,Sorong-Papua Island,ID-PB
Domodedovo International Airport,Moscow,RU-MOS
Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,MX-JAL
Don Mueang International Airport,Bangkok,TH-10
Donaueschingen-Villingen Airport,Donaueschingen,DE-BW
Donegal Airport,Donegal,IE-DL
Donetsk International Airport,Donetsk,UA-14
Dong Hoi Airport,Dong Hoi,VN-24
Dong Tac Airport,Tuy Hoa,VN-49
Dongji Aiport,Fuyuan,CN-23
Dongola Airport,Dongola,SD-01
